Store_ID,Store_Name,License_Number,Address,Store_Type_ID,Zip_Code,Latitude,Longitude
2328,TAQUERIA AMIGO CHINO 2,2245254,5959 W LAWRENCE AVE,1,60630,41.96754537,-87.77701144
2329,AUTUMN GREEN,1845501,4239 N OAK PARK AVE,1,60634,41.95769221,-87.79754403
2330,MARIO'S BUTCHER SHOP,2109251,5817-5825 W MADISON ST,2,60644,41.88004498,-87.77049338
2331,FRANCISCO I. MADERO MIDDLE SCHOOL,41041,3202 W 28th St,3,60623,41.84098398,-87.70508585
2332,B P,2791418,749 S CICERO AVE,2,60644,41.87082601,-87.74476764
2333,DANNY'S PIZZA PLACE,2429193,6021 S ARCHER AVE,1,60638,41.79484996,-87.76728036
2334,LAKEVIEW REHABILITATION AND NURSING CENTER,2245580,735 W DIVERSEY PKWY,8,60614,41.93263163,-87.64797278
2335,JIN JU,27137,5203 N CLARK ST,1,60640,41.97630115,-87.66827594
2336,TASTE OF NEW YORK,2636386,3268 N CLARK ST,1,60657,41.94157493,-87.65215812
2337,FRANK'S CHICAGO SHRIMP HOUSE,2192890,5052 W IRVING PARK RD,1,60641,41.95344289,-87.75439576
2338,INTERNATIONAL SUPERMARKET INC,16712,4556 S ASHLAND AVE,43,60609,41.81056568,-87.66517052
2339,CHICAGO COLLEGIATE CHARTER SCHOOL,3619417,11816 S INDIANA AVE,3,60628,41.67932393,-87.61800463
2340,Snappy Dog,2104217,6682 1/2 N Northwest HWY,1,60631,42.00233656,-87.81568404
2341,"JACKSON PARK SLF, LLC",2569220,1440-1448 E 75TH ST,8,60619,41.75884822,-87.58918947
2342,"MEZZA GRILLED WRAPS AND PITA, INC",1596616,2 N RIVERSIDE PLZ,1,60606,41.88197705,-87.63887584
2343,LAWNDALE COMMUNITY ACADEMY ANNEX,31161,3444 W DOUGLAS BLVD,3,60623,41.86299557,-87.71223193
2344,CAFE TOUCHE,1887592,6731 N NORTHWEST HWY,1,60631,42.00352156,-87.81709983
2345,BP GAS,2551845,6308 N CENTRAL AVE,2,60646,41.9963716,-87.76427704
2346,JUST JERK CAFE,2298339,119 E 79TH ST,1,60619,41.75091157,-87.62048291
2347,POPEYE'S,2738646,346 E 95TH ST,1,60619,41.72199187,-87.61470981
2348,"JAY'S BEEF OF CHICAGO, INC.",1766631,2255 W NORTH AVE,1,60647,41.91025078,-87.68454946
2349,POTBELLY SANDWICH WORKS,2093242,57 E CHICAGO AVE,1,60611,41.89659913,-87.62599034
2350,Burkes Web Pub,26774,2026 W WEBSTER AVE,10,60647,41.92148307,-87.67884765
2351,7-ELEVEN #33705B,2289809,216 W JACKSON BLVD,2,60606,41.87822324,-87.63424738
2352,JET'S PIZZA,2163956,2811 N ASHLAND AVE,1,60657,41.93276574,-87.66826201
2353,SABA ITALIAN,2359413,2715-2719 N MILWAUKEE AVE,1,60647,41.93060513,-87.70968937
2354,North Center For Handicapped,2224924,5104 W Belmont AVE,3,60641,41.93883817,-87.75451982
2355,THE LITTLE INDIA,1892841,1109 W BRYN MAWR AVE,1,60660,41.98354261,-87.65842915
2356,SEE THRU CHINESE KITCHEN #21,2379245,5249 W Madison ST,1,60644,41.88023863,-87.75700197
2357,ROBUST COFFEE LOUNGE LLC,1979691,6300 S WOODLAWN AVE,1,60637,41.780461,-87.59634922
2358,"BIG RAYS GRILL, INC.",1592351,4653 S HALSTED ST,1,60609,41.8093434,-87.64540779
2359,JERSEY MIKE'S SUBS,2398227,200 W MONROE ST,1,60606,41.88076896,-87.63387497
2360,TORTERIA SAN LENCHITO INC.,2412170,4810 N DRAKE AVE,1,60625,41.96873485,-87.71719003
2361,PATINOS GRILL,2564436,3109-3113 W IRVING PARK RD,1,60618,41.95382334,-87.7060002
2362,S2 EXPRESS GRILL,2678193,5058 S HALSTED ST,1,60609,41.80162842,-87.64549201
2363,LINCOLN PARK PRESCHOOL & KINDERGARTEN,2487715,2150 N LINCOLN PARK WEST,4,60614,41.92167473,-87.63659454
2364,JOSEPHINE'S COOKIN',25152,436 - 440 E 79TH ST,1,60619,41.75125344,-87.6134891
2365,BRICK HOUSE BAR AND GRILL,1969907,3152-3154 W IRVING PARK RD,1,60618,41.95403155,-87.70771986
2366,BUREAU BAR AND RESTAURANT LLC,2738503,2115 S STATE ST,1,60616,41.8537681,-87.62695736
2367,"EL ORIGINAL CHAVAS TACOS, INC.",1964229,2333 W GRAND AVE,1,60612,41.89056936,-87.68557425
2368,LA COSTA,2523040,3119-3121 N CENTRAL AVE,1,60634,41.93735507,-87.76630745
2369,MI NUEVA TIERRA,2703967,2417 N CLYBOURN AVE,1,60614,41.9256713,-87.66984157
2370,CERMAK PRODUCE NO.4,69608,2701 W NORTH AVE,2,60647,41.91013224,-87.69460039
2371,William H. Ray Elementary,25071,5631 S Kimbark (1300E),3,60637,41.79234967,-87.59471544
2372,GOTHAM BAGELS,2397248,2801 N LINCOLN AVE,1,60657,41.93272451,-87.65873284
2373,HALSTED STREET DELI,2189538,233 N MICHIGAN AVE,1,60601,41.88656737,-87.62438467
2374,FURIOUS SPOON,2551072,800 W BELMONT AVE,1,60657,41.94009012,-87.64930996
2375,NYFC SEAFOOD & GRILL INC,2671384,1137 W 63RD ST,1,60621,41.77951326,-87.65351329
2376,CHURCH'S CHICKEN # 982,1273271,58 W 79TH ST,1,60620,41.7510225,-87.62698029
2377,NEW MODERN GRILL,44790,3171 N HALSTED ST,1,60657,41.93993844,-87.6491183
2378,TACO BURRITO KING,2065146,5501 N HARLEM AVE,1,60656,41.98114975,-87.8068093
2379,LITTLE BUGS LEARNING CENTER INC,2405784,1505 N PULASKI RD,6,60651,41.90828802,-87.72632247
2380,MR.SUBMARINE,35117,10509 S WESTERN AVE,1,60643,41.70241717,-87.68134559
2381,CAPT'N NEMO,47163,7367 N CLARK ST,1,60626,42.01570881,-87.67500337
2382,CYDI COMMUNITY YOUTH DEVELOPMENT INSTITUTE,99050,7836 S Union (700W),3,60620,41.75140973,-87.64176863
2383,THE PASTA BOWL,2578687,4343 N LINCOLN AVE,1,60618,41.96074817,-87.68321959
2384,ESQUINA DEL SABOR CATROCHO,2652559,2535 N LARAMIE AVE,1,60639,41.92703609,-87.75610618
2385,IHOP,2627330,3760 N HALSTED ST,1,60613,41.95090116,-87.64977184
2386,ALEXANDER GRAHAM BELL ELEM.,1878462,3730 N Oakley AVE,3,60618,41.94952795,-87.68605496
2387,LA PERLA TAPATIA BAKERY,1698,4214 W NORTH AVE,5,60639,41.90991975,-87.73197126
2388,TRUENORTH CAFE,2583638,1323 E 57TH ST,1,60637,41.79136324,-87.59386259
2389,U OF C WOODLAWN CHARTER,3676019,6300 S UNIVERSITY AVE,3,60637,41.78044977,-87.59739197
2390,GENE'S BISTRO/BIG BOWL/TALL BOY,2699122,5700 S CICERO AVE,1,60638,41.78932932,-87.74164564
2391,KING GYROS,2564709,7904 S VINCENNES AVE,1,60620,41.75061951,-87.6344093
2392,VIENNA DOGS,2522712,5700 S CICERO AVE,1,60638,41.78932932,-87.74164564
2393,CHICAGO DIPLOMAT CAFE,2506760,3134 N LINCOLN AVE,1,60657,41.93860473,-87.66738884
2394,DAK,2177113,1104 W GRANVILLE AVE,1,60660,41.99468315,-87.65855621
2395,NATHAN DAVIS ELEMENTARY,22891,3014 W 39th PL,3,60632,41.8218786,-87.70022859
2396,RABBIT HOLE,1514802,1208 N WELLS ST,1,60610,41.9041507,-87.63463644
2397,ST. THOMAS THE APOSTLE,6355,5467 S WOODLAWN AVE,3,60615,41.79602399,-87.5964175
2398,EMERALD CITY COFFEE,2463442,3938 N SHERIDAN RD,1,60613,41.95389641,-87.65467574
2399,JOE'S GRILL,2177841,5102 S RACINE AVE,1,60609,41.80130139,-87.65520167
2400,THE GWEN,1768303,520 N MICHIGAN AVE,1,60611,41.89168852,-87.62430718
2401,MC DONALDS,2341198,2754 N NARRAGANSETT AVE,1,60639,41.9307938,-87.78583013
2402,DOLLAR TREE STORE #7227,2516888,7901 S WESTERN AVE,2,60620,41.75006036,-87.68269913
2403,COMMUNITY FIRST MEDICAL CENTER,2427933,5645 W ADDISON ST,13,60634,41.94574757,-87.76853828
2404,SEE THRU CHINESE RESTAURANT,1942299,5609 W DIVISION ST,1,60651,41.90202972,-87.76602279
2405,JIMMY JOHNS,1695172,3041 N LINCOLN AVE,1,60657,41.93710272,-87.66486149
2406,LITTLE MUNCHKINS PRODUCE,2222180,2022 W 51ST ST,2,60609,41.80132926,-87.67557273
2407,FRESH MARKET PLACE,1382145,2600 N CENTRAL AVE,2,60639,41.92764768,-87.76626652
2408,POPEYES CHICKEN/INDIAN SWAAD,40155,500 W MADISON ST,1,60661,41.88199434,-87.63975868
2409,COLUMBUS MANOR RESIDENTIAL CARE & HOME,2418662,5107-5121 W JACKSON BLVD,8,60644,41.87656422,-87.75374481
2410,CHARMER'S CAFE,2442571,1500 W JARVIS AVE,1,60626,42.01615704,-87.66825247
2411,MORELIA SUPERMARKET #2,1648410,4833 W DIVERSEY AVE,2,60639,41.93140629,-87.74793697
2412,CARBON,1802129,300 W 26TH ST,1,60616,41.84559491,-87.63464866
2413,La Viva Kitchen,2358584,4425 W MONTROSE AVE,1,60641,41.96070465,-87.73956935
2414,HILLTOP FAMILY RESTAURANT,2652370,2800 W FOSTER AVE,1,60625,41.97592671,-87.69904569
2415,PEARL'S SOUTHERN  COMFORT,2369189,5352 N BROADWAY,1,60640,41.97970752,-87.66010746
2416,SUBWAY,2595127,1300 W CERMAK RD,1,60608,41.85256485,-87.65878715
2417,DSTRKT BAR & GRILL,2590018,1540 N MILWAUKEE AVE,1,60622,41.90942003,-87.67619508
2418,DIVERSEY PRESTIGE LIQUORS,2708983,946 W DIVERSEY PKWY,2,60614,41.93275786,-87.65333073
2419,Holmes,23831,955 W Garfield (5500S),3,60621,41.79376044,-87.64977785
2420,ALVO CORPORATION,2712421,3216 W LAWRENCE AVE,1,60625,41.96855298,-87.70920976
2421,MINI ME BUNCH,2216081,4323 W CERMAK RD,4,60623,41.85131017,-87.73306748
2422,TAQUERIA MICHOACAN,2601152,3332 W 63RD ST,1,60629,41.77902176,-87.70688981
2423,DECLAN'S,55852,1240 N WELLS ST,1,60610,41.90504879,-87.63466866
2424,FIESTA BURGER HEAVEN,2390841,7832 S ASHLAND AVE,1,60620,41.75117948,-87.66360549
